STATS_YM,STATS_RM_CN,ACDMCR_TY_NM,RANK_NM,CNSLT_CN,CNSLT_CN_VALUE
201907,2019년1월1일~7월31일,초등학교,5위,성격,3.6
201907,2019년1월1일~7월31일,초등학교,6위,생활습관/외모,3
201907,2019년1월1일~7월31일,초등학교,7위,성,0.6
201907,2019년1월1일~7월31일,초등학교,8위,-,0
201907,2019년1월1일~7월31일,초등학교,9위,-,0
201907,2019년1월1일~7월31일,초등학교,10위,-,0
201907,2019년1월1일~7월31일,초등학교,11위,-,0
201907,2019년1월1일~7월31일,중학교,1위,기타,51
201907,2019년1월1일~7월31일,중학교,2위,성격,15.7
201907,2019년1월1일~7월31일,중학교,3위,학업,10.9
201907,2019년1월1일~7월31일,중학교,4위,인터넷/스마트폰,9
201907,2019년1월1일~7월31일,중학교,5위,대인관계,4.2
201907,2019년1월1일~7월31일,중학교,6위,일탈 및 비행,2.5
201907,2019년1월1일~7월31일,중학교,7위,정신건강,2
201907,2019년1월1일~7월31일,중학교,8위,가족,1.7
201907,2019년1월1일~7월31일,중학교,9위,진로,1.7
201907,2019년1월1일~7월31일,중학교,10위,생활습관/외모,1.4
201907,2019년1월1일~7월31일,중학교,11위,-,0
201907,2019년1월1일~7월31일,고등학교,1위,진로,36.5
201907,2019년1월1일~7월31일,고등학교,2위,일탈 및 비행,21
201907,2019년1월1일~7월31일,고등학교,3위,생활습관/외모,13.1
201907,2019년1월1일~7월31일,고등학교,4위,학업,8.8
201907,2019년1월1일~7월31일,고등학교,5위,대인관계,6.1
201907,2019년1월1일~7월31일,고등학교,6위,가족,3.9
201907,2019년1월1일~7월31일,고등학교,7위,성,3.6
201907,2019년1월1일~7월31일,고등학교,8위,기타,3.1
201907,2019년1월1일~7월31일,고등학교,9위,인터넷/스마트폰,0.6
201907,2019년1월1일~7월31일,고등학교,10위,정신건강,0.3
201907,2019년1월1일~7월31일,고등학교,11위,-,0
201906,2019년1월1일~6월26일,초등학교,1위,기타,32.7
201906,2019년1월1일~6월26일,초등학교,2위,대인관계,24.5
201906,2019년1월1일~6월26일,초등학교,3위,학업,20.4
201906,2019년1월1일~6월26일,초등학교,4위,가족,15.3
201906,2019년1월1일~6월26일,초등학교,5위,성격,5.1
